epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,799.436,1.32834,1.03842,1.35423,0.87175,0.81329,0.89046,0.53445,1.44244,0.77852,1.33475,6.41514e-05,6.41514e-05,6.41514e-05
96,808.031,1.27948,1.05526,1.38932,0.87615,0.82136,0.89973,0.54056,1.41999,0.77132,1.31728,6.38445e-05,6.38445e-05,6.38445e-05
97,816.113,1.23694,1.04552,1.35011,0.8189,0.87411,0.90089,0.54642,1.39875,0.76436,1.30788,6.35376e-05,6.35376e-05,6.35376e-05
98,824.614,1.29453,1.08088,1.34771,0.86578,0.85597,0.90215,0.54666,1.40613,0.76742,1.31334,6.32307e-05,6.32307e-05,6.32307e-05
99,833.274,1.17823,0.98484,1.2994,0.88513,0.84197,0.89404,0.53382,1.45908,0.77559,1.3403,6.29238e-05,6.29238e-05,6.29238e-05
100,840.747,1.26517,1.02408,1.32699,0.87354,0.84758,0.89032,0.52242,1.50663,0.77805,1.36995,6.26169e-05,6.26169e-05,6.26169e-05
101,849.102,1.197,0.9381,1.29113,0.8667,0.8407,0.88388,0.51776,1.52643,0.77469,1.38314,6.231e-05,6.231e-05,6.231e-05
102,857.94,1.20367,0.97669,1.29074,0.86406,0.84049,0.88189,0.51853,1.51959,0.77061,1.38036,6.20031e-05,6.20031e-05,6.20031e-05
103,865.673,1.23849,1.00476,1.33961,0.87881,0.8418,0.88746,0.52931,1.46895,0.75548,1.34812,6.16962e-05,6.16962e-05,6.16962e-05
104,874.056,1.31853,1.03421,1.32684,0.8741,0.86169,0.89441,0.54957,1.38918,0.73514,1.29867,6.13893e-05,6.13893e-05,6.13893e-05
105,882.987,1.22613,0.95675,1.27948,0.89196,0.85065,0.89832,0.56806,1.34558,0.72533,1.27437,6.10824e-05,6.10824e-05,6.10824e-05
106,891.205,1.18862,0.9621,1.2837,0.88167,0.85924,0.90655,0.5733,1.32997,0.72145,1.26326,6.07755e-05,6.07755e-05,6.07755e-05
107,899.951,1.2495,1.03521,1.31853,0.88167,0.85924,0.90655,0.5733,1.32997,0.72145,1.26326,6.04686e-05,6.04686e-05,6.04686e-05
108,908.516,1.19767,0.97355,1.31108,0.89855,0.85294,0.90656,0.57122,1.33279,0.72884,1.26156,6.01617e-05,6.01617e-05,6.01617e-05
109,916.629,1.19609,0.95666,1.26403,0.9042,0.84724,0.90934,0.56905,1.35162,0.74199,1.26987,5.98548e-05,5.98548e-05,5.98548e-05
110,925.336,1.11627,0.89798,1.24695,0.90527,0.84703,0.90914,0.55952,1.36965,0.7446,1.27676,5.95479e-05,5.95479e-05,5.95479e-05
111,934.027,1.19786,0.95251,1.29677,0.89224,0.85451,0.90719,0.56028,1.37585,0.74153,1.27413,5.9241e-05,5.9241e-05,5.9241e-05
112,941.608,1.10456,0.8895,1.26109,0.89087,0.85668,0.90677,0.56387,1.37199,0.73406,1.26928,5.89341e-05,5.89341e-05,5.89341e-05
113,950.004,1.18099,0.92556,1.2729,0.8873,0.85391,0.90473,0.5643,1.35826,0.72984,1.25847,5.86272e-05,5.86272e-05,5.86272e-05
114,958.245,1.13107,0.89399,1.25756,0.87606,0.86289,0.90466,0.57151,1.34837,0.72049,1.2491,5.83203e-05,5.83203e-05,5.83203e-05
115,965.949,1.22623,0.96679,1.28615,0.87023,0.87557,0.90638,0.58254,1.30618,0.70426,1.22448,5.80134e-05,5.80134e-05,5.80134e-05
116,974.801,1.18632,0.93448,1.30812,0.87057,0.8752,0.90054,0.58698,1.29022,0.69812,1.21682,5.77065e-05,5.77065e-05,5.77065e-05
117,983.522,1.17798,0.9256,1.27099,0.87999,0.8742,0.90258,0.59303,1.28177,0.69309,1.2122,5.73996e-05,5.73996e-05,5.73996e-05
118,991.796,1.13612,0.91003,1.2547,0.93201,0.86493,0.90783,0.59155,1.3054,0.69575,1.22256,5.70927e-05,5.70927e-05,5.70927e-05
119,1000.55,1.12416,0.85446,1.21674,0.93093,0.8602,0.9072,0.57873,1.36307,0.70217,1.25003,5.67858e-05,5.67858e-05,5.67858e-05
120,1008.81,1.14052,0.91188,1.26188,0.933,0.85317,0.90492,0.56269,1.42798,0.7099,1.28566,5.64789e-05,5.64789e-05,5.64789e-05
121,1017.34,1.19796,0.92943,1.27903,0.94001,0.85175,0.90651,0.56495,1.44351,0.70334,1.29524,5.6172e-05,5.6172e-05,5.6172e-05
122,1026.2,1.30866,1.02771,1.3416,0.93456,0.85372,0.90632,0.56375,1.43963,0.69776,1.29229,5.58651e-05,5.58651e-05,5.58651e-05
123,1034.19,1.22541,0.97099,1.3339,0.93456,0.85372,0.90632,0.56375,1.43963,0.69776,1.29229,5.55582e-05,5.55582e-05,5.55582e-05
124,1041.99,1.1219,0.88328,1.26082,0.89061,0.86618,0.90751,0.57069,1.4066,0.68686,1.27307,5.52513e-05,5.52513e-05,5.52513e-05
125,1051.08,1.10222,0.87497,1.21889,0.91171,0.87102,0.91017,0.57521,1.37406,0.6791,1.25611,5.49444e-05,5.49444e-05,5.49444e-05
126,1059.43,1.14332,0.92701,1.28102,0.91944,0.86923,0.91323,0.58294,1.34125,0.67424,1.24133,5.46375e-05,5.46375e-05,5.46375e-05
127,1067.57,1.10781,0.86557,1.23169,0.93412,0.85919,0.91403,0.58669,1.32394,0.67539,1.23256,5.43306e-05,5.43306e-05,5.43306e-05
128,1076.31,1.15093,0.89213,1.24132,0.91231,0.8738,0.91669,0.58368,1.34041,0.67832,1.24288,5.40237e-05,5.40237e-05,5.40237e-05
129,1084.13,1.08887,0.83824,1.22163,0.90095,0.87552,0.91337,0.57304,1.39389,0.69077,1.27222,5.37168e-05,5.37168e-05,5.37168e-05
130,1092.48,1.15535,0.96129,1.31871,0.89379,0.87592,0.9123,0.56204,1.42872,0.70197,1.28695,5.34099e-05,5.34099e-05,5.34099e-05
131,1101.57,1.13415,0.8877,1.25285,0.90138,0.86784,0.91033,0.55555,1.46903,0.71083,1.30698,5.3103e-05,5.3103e-05,5.3103e-05
132,1109.73,1.16484,0.92083,1.28687,0.88274,0.87869,0.90381,0.54905,1.50537,0.71687,1.33065,5.27961e-05,5.27961e-05,5.27961e-05
133,1117.98,1.1124,0.83296,1.20451,0.89082,0.869,0.90295,0.54913,1.51437,0.72166,1.33817,5.24892e-05,5.24892e-05,5.24892e-05
134,1126.64,1.12565,0.85877,1.25152,0.9003,0.87245,0.90697,0.56604,1.45715,0.70848,1.30598,5.21823e-05,5.21823e-05,5.21823e-05
135,1134.47,1.15417,0.89592,1.26008,0.90202,0.87383,0.91031,0.58596,1.37661,0.69342,1.25885,5.18754e-05,5.18754e-05,5.18754e-05
136,1142.52,1.11513,0.83923,1.22378,0.91078,0.86853,0.91188,0.60515,1.28215,0.67045,1.20349,5.15685e-05,5.15685e-05,5.15685e-05
137,1151.46,1.16431,0.9273,1.25615,0.91513,0.88319,0.91699,0.62198,1.22086,0.65366,1.16936,5.12616e-05,5.12616e-05,5.12616e-05
138,1159.65,1.10777,0.82802,1.21087,0.91099,0.88102,0.91829,0.6267,1.19661,0.64439,1.1516,5.09547e-05,5.09547e-05,5.09547e-05
139,1167.83,1.14003,0.88581,1.25551,0.91099,0.88102,0.91829,0.6267,1.19661,0.64439,1.1516,5.06478e-05,5.06478e-05,5.06478e-05
140,1176.88,1.16084,0.91596,1.27309,0.90611,0.88192,0.91775,0.62151,1.22255,0.64888,1.15933,5.03409e-05,5.03409e-05,5.03409e-05
141,1184.58,1.08344,0.81775,1.20363,0.90584,0.88235,0.91507,0.60678,1.27687,0.65814,1.18399,5.0034e-05,5.0034e-05,5.0034e-05
142,1192.3,1.07789,0.83804,1.25172,0.90238,0.87737,0.91513,0.57762,1.37771,0.67811,1.23895,4.97271e-05,4.97271e-05,4.97271e-05
143,1201.56,1.16228,0.85953,1.25479,0.89344,0.8781,0.91385,0.55094,1.48659,0.70678,1.30846,4.94202e-05,4.94202e-05,4.94202e-05
144,1209.63,1.08381,0.80755,1.21741,0.89131,0.87198,0.90569,0.53203,1.56195,0.72429,1.36239,4.91133e-05,4.91133e-05,4.91133e-05
145,1217.09,1.12582,0.82374,1.20939,0.90175,0.86676,0.9055,0.52467,1.57809,0.7231,1.382,4.88064e-05,4.88064e-05,4.88064e-05
146,1225.8,1.13172,0.86055,1.24975,0.90944,0.87011,0.90654,0.53815,1.53825,0.71001,1.3642,4.84995e-05,4.84995e-05,4.84995e-05
147,1234.39,1.0549,0.80902,1.21264,0.90812,0.87581,0.91236,0.55929,1.44953,0.68425,1.31227,4.81926e-05,4.81926e-05,4.81926e-05
148,1241.87,1.15351,0.89237,1.2516,0.95173,0.87023,0.91495,0.5849,1.35792,0.66478,1.25909,4.78857e-05,4.78857e-05,4.78857e-05
149,1250.05,1.06154,0.81244,1.2056,0.9514,0.87567,0.91665,0.60731,1.28538,0.64733,1.2173,4.75788e-05,4.75788e-05,4.75788e-05
150,1258.52,1.13599,0.87281,1.23945,0.95335,0.8753,0.91863,0.61711,1.23891,0.63568,1.18817,4.72719e-05,4.72719e-05,4.72719e-05
151,1266.12,1.12502,0.89943,1.25456,0.90892,0.87961,0.91905,0.62122,1.22879,0.63283,1.17989,4.6965e-05,4.6965e-05,4.6965e-05
152,1274.9,1.07024,0.82583,1.22411,0.90253,0.88041,0.92157,0.62077,1.24647,0.63316,1.18349,4.66581e-05,4.66581e-05,4.66581e-05
